,Country,Lat,Lng
0,China,35.86166,104.195397
1,Denmark,56.26392,9.501785
2,Netherlands,52.132633,5.2912659999999985
3,United States,37.09024,-95.712891
4,Finland,61.92410999999999,25.7481511
5,Norway,60.47202399999999,8.468945999999999
6,Romania,45.943160999999996,24.96676
7,France,46.227638,2.213749
8,Estonia,58.595271999999994,25.0136071
9,Morocco,31.791702,-7.092619999999998
10,Spain,40.46366700000001,-3.7492199999999998
11,Egypt,26.820553000000004,30.802497999999996
12,Bulgaria,42.733883,25.48583
13,Italy,41.87194,12.56738
14,Chad,15.454166,18.732207
15,Azerbaijan,40.143105,47.576927000000005
16,Argentina,-38.416097,-63.61667199999999
17,Cuba,21.521757,-77.78116700000001
18,Belarus,53.709807,27.953389
19,Greece,39.074208,21.824312
20,Cameroon,7.3697219999999986,12.354722
21,Turkey,38.963745,35.243322
22,Chile,-35.675146999999996,-71.542969
23,Mexico,23.634501,-102.552784
24,Nicaragua,12.865416,-85.207229
25,Hungary,47.162494,19.5033041
26,Nigeria,9.081999,8.675277000000001
27,Algeria,28.033886,1.6596259999999998
28,Kuwait,29.311659999999996,47.481766
29,Bahrain,26.0667,50.5577
30,Pakistan,30.375321000000003,69.34511599999999
31,Iraq,33.223191,43.679291
32,Lebanon,33.854721000000005,35.862285
33,Qatar,25.354826,51.183884
34,Malaysia,4.210483999999999,101.97576600000001
35,Germany,51.165690999999995,10.451526
36,Canada,56.130366,-106.34677099999999
37,Ireland,53.1423672,-7.692053599999999
38,Australia,-25.274398,133.775136
39,South Africa,-30.559482,22.937506
40,Jordan,30.585164000000002,36.238414
41,Tunisia,33.886917,9.537499
42,Libya,26.3351,17.228331
43,Belgium,50.503887,4.469936
44,Djibouti,11.825138,42.590275
45,Comoros,-11.6455,43.3333
46,Kazakhstan,48.019573,66.923684
47,India,20.593684,78.96288
48,Saudi Arabia,23.885942,45.079162
49,Ethiopia,9.145,40.489672999999996
50,United Arab Emirates,23.424076,53.847818000000004
51,Indonesia,-0.789275,113.921327
52,Philippines,12.879721,121.77401699999999
53,Singapore,1.352083,103.819836
54,Uzbekistan,41.377491,64.585262
55,Kyrgyzstan,41.20438,74.766098
56,Tajikistan,38.861034000000004,71.276093
57,Japan,36.204824,138.252924
58,Switzerland,46.818188,8.227511999999999
59,Brazil,-14.235004,-51.92528
60,Israel,31.046051000000002,34.851612
61,Uruguay,-32.522779,-55.765834999999996
62,Sweden,60.12816100000001,18.643501
63,Sri Lanka,7.873053999999999,80.77179699999998
64,Armenia,40.069099,45.038189
65,Kenya,-0.023559,37.906193
66,Benin,9.30769,2.315834
67,Ukraine,48.379433,31.1655799
68,Ghana,7.946527000000001,-1.0231940000000002
69,Latvia,56.879635,24.603189
70,Niger,17.607789,8.081666
71,Mali,17.570692,-3.9961660000000006
72,Afghanistan,33.93911,67.709953
73,Poland,51.919438,19.145135999999997
74,Costa Rica,9.748917,-83.753428
75,Panama,8.537981,-80.782127
76,Georgia,32.1656221,-82.9000751
77,Slovenia,46.151241,14.995463
78,Croatia,45.1,15.200000099999999
79,New Zealand,-40.900557,174.88597099999998
80,Portugal,39.39987199999999,-8.224454
81,Paraguay,-23.442503,-58.44383199999999
82,Angola,-11.202691999999999,17.873887
83,Colombia,4.570868,-74.297333
84,Bangladesh,23.684994,90.35633100000001
85,Peru,-9.189967,-75.015152
86,El Salvador,13.794185,-88.89653
87,Puerto Rico,18.220833,-66.590149
88,Uganda,1.373333,32.290275
89,Honduras,15.199998999999998,-86.241905
90,Ecuador,-1.8312389999999998,-78.18340599999998
91,Turkmenistan,38.969719,59.556278000000006
92,Mauritius,-20.348404000000002,57.55215200000001
93,Seychelles,-4.679574,55.491977
94,Czechoslovakia,39.7784223,-84.16462440000001
95,Mauritania,21.00789,-10.940835
96,Czech Republic,49.81749199999999,15.472961999999999
97,Trinidad and Tobago,10.691803,-61.222503
98,Dominican Republic,18.735692999999998,-70.162651
99,Jamaica,18.109581,-77.297508
100,Liberia,6.4280550000000005,-9.429499000000002
101,Nepal,28.394857000000002,84.12400799999998
102,Mongolia,46.862496,103.84665600000001
103,Austria,47.516231,14.550072
104,Lithuania,55.169438,23.881275
105,Togo,8.619543,0.824782
106,Namibia,-22.957639999999998,18.49041
107,Iceland,64.96305100000001,-19.020835
108,Rwanda,-1.940278,29.873888
109,Dominica,15.414999,-61.37097600000001
110,Haiti,18.971187,-72.28521500000001
111,Malta,35.937496,14.375416
112,Luxembourg,49.815273,6.1295829999999984
113,Cyprus,35.126413,33.429859
114,Guinea,9.945587,-9.696645
115,Thailand,15.870032,100.992541
116,Sierra Leone,8.460555000000001,-11.779889
117,Yemen,15.552726999999999,48.516388
118,Oman,21.4735329,55.975413
119,Guatemala,15.783470999999999,-90.230759
120,Serbia,44.016521000000004,21.005859
121,Mozambique,-18.665695,35.529562
122,Central African Republic,6.611110999999998,20.939444
123,Madagascar,-18.766947000000002,46.869107
124,Bosnia and Herzegovina,43.915886,17.679076000000002
125,Slovakia,48.669026,19.699023999999998
126,Barbados,13.193887,-59.543198
127,Gabon,-0.803689,11.609444
128,Botswana,-22.328474,24.684866
129,Senegal,14.497401000000002,-14.452361999999999
130,Equatorial Guinea,1.6508009999999997,10.267895
131,Zimbabwe,-19.015438,29.154857
132,Saint Lucia,13.909444,-60.97889300000001
133,Myanmar,21.916221,95.955974
134,Malawi,-13.254307999999998,34.301525
135,Zambia,-13.133897,27.849332
136,Sao Tome and Principe,0.18636,6.613080999999998
137,Montenegro,42.708678000000006,19.37439
138,Gambia,13.443182,-15.310139000000001
139,Albania,41.153332,20.168331
140,Swaziland,-26.522503000000004,31.465866
141,Burkina Faso,12.238333,-1.561593
142,Burundi,-3.3730559999999996,29.918885999999997
143,Cambodia,12.565679,104.990963
144,Lesotho,-29.609988,28.233608
